"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene","significant"
"PGM1",42.3491231936362,0.698352981283251,0.319064982158056,0.0121474775368213,0.0311425249042065,"PGM1","Not Sig"
"PGM2",438.255509682882,-3.09939271007062,0.222623474700627,2.72941092857063e-45,1.17448651803263e-42,"PGM2","Down"
"PGS1",37.6339200532851,-0.0396621023607003,0.273176439742431,0.870630290979508,0.911530197967315,"PGS1","Not Sig"
"PGU1",7.94515324909984,0.169655992218445,0.463495042444354,0.591250882994334,0.69528220295781,"PGU1","Not Sig"
"PHA2",17.5282454917627,0.1711584810001,0.322650739536829,0.537216859020528,0.646994211834147,"PHA2","Not Sig"
"PHB1",315.932735199095,0.60031149045042,0.163602585385647,0.000138114826847426,0.000688161444678888,"PHB1","Not Sig"
"PHB2",223.117131652715,-0.12912787064146,0.179042557406633,0.450607963141642,0.568750213405764,"PHB2","Not Sig"
"PHD1",335.970940943894,-1.40297879389421,0.17666090139236,3.53364337735393e-16,1.41194293235128e-14,"PHD1","Down"
"PHM6",13.2272567023132,0.2394249626554,0.444965779422852,0.456088632123652,0.573852590138665,"PHM6","Not Sig"
"PHM7",78.9074039736419,-0.664878892806772,0.318694566489394,0.0158076846992383,0.0386994259113956,"PHM7","Not Sig"
"PHM8",285.068578508078,-1.61942301663907,0.219642539886064,2.5178116280012e-14,8.09461968220617e-13,"PHM8","Down"
"PHO12",67.7544201800591,1.68011590472956,0.305700252431217,6.30030160530698e-09,8.19625283257843e-08,"PHO12","Up"
"PHO13",135.785916065944,0.856415469995222,0.293448569660144,0.00116682234403114,0.00430838560561729,"PHO13","Not Sig"
"PHO2",68.3304488438103,0.0545772528443719,0.253770126581781,0.815398062923,0.871103744335069,"PHO2","Not Sig"
"PHO23",80.7437732674396,-0.319332319364223,0.219673899311832,0.118769386161702,0.201698830051172,"PHO23","Not Sig"
"PHO3",12.0787955129029,0.0272222260156085,0.399544830370784,0.930859698373827,0.955279609741916,"PHO3","Not Sig"
"PHO4",33.3376330927304,-0.202648759014321,0.302646424812545,0.439321585612227,0.556779735301129,"PHO4","Not Sig"
"PHO5",33.0098608002449,-0.25381663201161,0.312081901907526,0.344000285055277,0.464367180163904,"PHO5","Not Sig"
"PHO8",173.549726758055,-0.0252762018679503,0.18673117201359,0.886095452570573,0.922198690545076,"PHO8","Not Sig"
"PHO80",51.3101804059808,0.370132284367411,0.262658999356122,0.119986394523277,0.203333502260895,"PHO80","Not Sig"
"PHO81",142.883553240458,0.624738126720098,0.203217204324765,0.0011292208392028,0.00419725008272456,"PHO81","Not Sig"
"PHO85",118.367741847632,0.221041892735581,0.199712828342173,0.24215285584276,0.354422573412977,"PHO85","Not Sig"
"PHO86",105.194752165279,-0.26255868899974,0.186558915873274,0.138602238967627,0.228108539212976,"PHO86","Not Sig"
"PHO87",88.0400128254687,0.288066724518029,0.242229231832224,0.196409311376727,0.299949136729842,"PHO87","Not Sig"
"PHO90",43.4368578656072,0.718061485312331,0.296852923950048,0.006454784071232,0.0184224806604448,"PHO90","Not Sig"
"PHO91",87.2311192934858,-0.372351994055553,0.237738405839031,0.0888020128381494,0.159163216114048,"PHO91","Not Sig"
"PHR1",41.711380023805,1.71397041720685,2.18047735522858,0.0111337301002019,0.0289818921268168,"PHR1","Up"
"PHS1",44.8028634718478,-0.246640230884388,0.238762702540069,0.260449406700146,0.375891119989839,"PHS1","Not Sig"
"PIB1",187.307493814761,0.0494911167260127,0.180585997203977,0.773205987503214,0.840683050358208,"PIB1","Not Sig"
"PIB2",61.8251859858409,-0.223535214448843,0.227204909443348,0.287198912839026,0.405397607474517,"PIB2","Not Sig"
"PIC2",4188.50470741916,-1.51825141578578,0.198214921399067,2.12408079010449e-15,7.66587609022227e-14,"PIC2","Down"
"PIF1",69.4129160714866,0.487179611269461,0.256603277411632,0.0373679415601565,0.0785555299088746,"PIF1","Not Sig"
"PIG1",31.9931998641369,0.199172555311431,0.313517585736298,0.463884148459174,0.581310019372898,"PIG1","Not Sig"
"PIG2",329.069951573319,-3.18310666701377,0.263516286671448,1.7663767850169e-34,4.11712988974356e-32,"PIG2","Down"
"PIH1",22.9133023068768,-0.705504455210944,0.337054457731479,0.0146305833287288,0.0363425768831744,"PIH1","Not Sig"
"PIK1",134.300883922982,0.0675489258277156,0.190295294485691,0.710513273327873,0.793466952205091,"PIK1","Not Sig"
"PIL1",666.729459074617,-1.07825910024422,0.156839541671406,1.56660940264079e-12,3.86062246624343e-11,"PIL1","Down"
"PIM1",391.786293291899,-1.04241198335979,0.165655486551433,8.55626332584976e-11,1.54898825387714e-09,"PIM1","Down"
"PIN2",28.7478358889588,-0.117096494843113,0.296874660432201,0.651926387464547,0.745167751574309,"PIN2","Not Sig"
"PIN3",125.876658875566,-0.324259478962233,0.206546791693357,0.0947329632505329,0.167225054093872,"PIN3","Not Sig"
"PIN4",242.524667733986,-0.494412666097236,0.218607790894103,0.0154987908289677,0.0380932495154857,"PIN4","Not Sig"
"PIP2",63.808119968721,0.249002670679016,0.263956662997589,0.297444233390656,0.415990044120979,"PIP2","Not Sig"
"PIR1",367.222936557338,-2.49807770818743,0.166575993644541,4.95386884047272e-52,3.46399278670055e-49,"PIR1","Down"
"PIR3",671.512570597054,-1.35058161920367,0.253228487515859,1.5103467339932e-08,1.85689662196878e-07,"PIR3","Down"
"PIS1",169.17648047972,0.0239596003766507,0.21624069296055,0.907105875917675,0.937437699959999,"PIS1","Not Sig"
"PKC1",178.243766820578,-0.0430136541944148,0.179480525102985,0.801125114570205,0.860011947435847,"PKC1","Not Sig"
"PKH1",115.380688022231,-0.854289067576349,0.242821111681292,0.000145758419128613,0.000721568669562358,"PKH1","Not Sig"
"PKH2",243.103075671889,-0.807464358521606,0.338484102889189,0.00584363706686949,0.01696383277222,"PKH2","Not Sig"
