"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene","significant"
"ARG81",96.1225457998183,-1.0305204404362,0.212140985532297,5.1326034954099e-07,2.65113425238439e-06,"ARG81","Down"
"ARG82",126.224274540637,0.590716865367485,0.273024545170843,0.0216113601553504,0.0412185300746779,"ARG82","Not Sig"
"ARH1",96.6140194324086,-0.725913515351101,0.235861808218045,0.00128566200961883,0.00336703805328077,"ARH1","Not Sig"
"ARI1",111.600819614056,-2.61415901298402,0.308664249657178,4.31791006973775e-18,9.47230938435803e-17,"ARI1","Down"
"ARK1",75.1912045947717,-0.656282880169453,0.278976173904908,0.0122159226412978,0.0248043089856334,"ARK1","Not Sig"
"ARL1",52.3521949175011,0.446133274938759,0.262261232523293,0.072400640641651,0.116348515871702,"ARL1","Not Sig"
"ARL3",24.6028178737963,0.125912598248447,0.351921437700849,0.693795642260635,0.758174022818127,"ARL3","Not Sig"
"ARN1",92.8681493501958,-1.10325929849306,0.308654197259709,0.000128631783258183,0.00042427252095889,"ARN1","Down"
"ARN2",17.0693479980617,0.306513589543421,0.363524737646249,0.348140083936652,0.432488480910866,"ARN2","Not Sig"
"ARO1",322.277876087615,0.566293930116901,0.265277217171479,0.0239019981017504,0.0449740253552613,"ARO1","Not Sig"
"ARO10",49.8893371948425,0.535555230538914,0.3541110310554,0.0936885206561884,0.145581551264088,"ARO10","Not Sig"
"ARO2",179.829610510968,1.20058575888095,0.217482243871154,1.15535321052382e-08,7.77743184075845e-08,"ARO2","Up"
"ARO3",250.496763775981,-0.347708592764424,0.169565076592844,0.0356935061450563,0.0632666265448178,"ARO3","Not Sig"
"ARO4",144.078000560299,0.587494049174962,0.227999273718034,0.00722947332365605,0.0156326531784043,"ARO4","Not Sig"
"ARO5",213.201339494438,3.0103932665162,0.333211834879214,1.44966272271086e-20,3.93660838390511e-19,"ARO5","Up"
"ARO7",42.4163381480164,-0.526784302388185,0.311877551899244,0.0681676659460998,0.110883955598279,"ARO7","Not Sig"
"ARO8",165.610979495059,0.654091251045048,0.24634273238783,0.00528372458562841,0.0118086917027588,"ARO8","Not Sig"
"ARO80",114.643018859053,-0.183646620404955,0.206598308771957,0.357016074026594,0.442140340514671,"ARO80","Not Sig"
"ARO9",39.5937176773892,0.373208697174728,0.31899709003196,0.203148848613414,0.277241927090372,"ARO9","Not Sig"
"ARP1",13.4257378560317,-0.0735805967446925,0.406728391510057,0.834800173618418,0.874450630107183,"ARP1","Not Sig"
"ARP2",165.481195274122,0.55897716396574,0.217269189354203,0.00744498936743734,0.0160366848369058,"ARP2","Not Sig"
"ARP3",93.464693637536,0.230851000930032,0.249778200360256,0.332656865010043,0.417612769943039,"ARP3","Not Sig"
"ARP4",79.3734526614292,0.0651396283442248,0.233067178824866,0.772191867925043,0.821224583492907,"ARP4","Not Sig"
"ARP5",154.032421380023,1.400815612685,0.355257773587082,2.01982780333072e-05,7.89030498032964e-05,"ARP5","Up"
